fecha,days,ccaa,casos
2020-04-13,37,Cataluña,3201
2020-04-13,37,Valencia,907
2020-04-13,37,Extremadura,334
2020-04-13,37,Galicia,290
2020-04-13,37,Madrid,6568
2020-04-13,37,Murcia,106
2020-04-13,37,Navarra,249
2020-04-13,37,País Vasco,859
2020-04-13,37,La Rioja,234
2020-04-14,38,Andalucía,865
2020-04-14,38,Aragón,514
2020-04-14,38,Asturias,166
2020-04-14,38,Baleares,125
2020-04-14,38,Canarias,104
2020-04-14,38,Cantabria,132
2020-04-14,38,Castilla-La Mancha,1755
2020-04-14,38,Castilla y León,1337
2020-04-14,38,Cataluña,3453
2020-04-14,38,Valencia,945
2020-04-14,38,Extremadura,342
2020-04-14,38,Galicia,299
2020-04-14,38,Madrid,6724
2020-04-14,38,Murcia,109
2020-04-14,38,Navarra,252
2020-04-14,38,País Vasco,902
2020-04-14,38,La Rioja,246
2020-04-15,39,Andalucía,912
2020-04-15,39,Aragón,543
2020-04-15,39,Asturias,168
2020-04-15,39,Baleares,131
2020-04-15,39,Canarias,107
2020-04-15,39,Cantabria,137
2020-04-15,39,Castilla-La Mancha,1796
2020-04-15,39,Castilla y León,1372
2020-04-15,39,Cataluña,3618
2020-04-15,39,Valencia,972
2020-04-15,39,Extremadura,359
2020-04-15,39,Galicia,310
2020-04-15,39,Madrid,6877
2020-04-15,39,Murcia,111
2020-04-15,39,Navarra,261
2020-04-15,39,País Vasco,956
2020-04-15,39,La Rioja,257
2020-04-16,40,Andalucía,940
2020-04-16,40,Aragón,562
2020-04-16,40,Asturias,174
2020-04-16,40,Baleares,134
2020-04-16,40,Canarias,111
2020-04-16,40,Cantabria,144
2020-04-16,40,Castilla-La Mancha,1852
2020-04-16,40,Castilla y León,1401
2020-04-16,40,Cataluña,3752
2020-04-16,40,Valencia,999
2020-04-16,40,Extremadura,372
2020-04-16,40,Galicia,320
2020-04-16,40,Madrid,7007
2020-04-16,40,Murcia,112
2020-04-16,40,Navarra,338
2020-04-16,40,País Vasco,992
2020-04-16,40,La Rioja,262
2020-04-17,41,Andalucía,967
2020-04-17,41,Aragón,601
2020-04-17,41,Asturias,187
2020-04-17,41,Baleares,148
2020-04-17,41,Canarias,115
2020-04-17,41,Cantabria,149
2020-04-17,41,Castilla-La Mancha,1913
2020-04-17,41,Castilla y León,1429
2020-04-17,41,Cataluña,3879
2020-04-17,41,Valencia,1042
2020-04-17,41,Extremadura,380
2020-04-17,41,Galicia,334
2020-04-17,41,Madrid,7132
2020-04-17,41,Murcia,115
2020-04-17,41,Navarra,354
2020-04-17,41,País Vasco,1020
2020-04-17,41,La Rioja,272
2020-04-18,42,Andalucía,993
2020-04-18,42,Aragón,619
2020-04-18,42,Asturias,196
2020-04-18,42,Baleares,155
2020-04-18,42,Canarias,119
2020-04-18,42,Cantabria,153
2020-04-18,42,Castilla-La Mancha,1963
2020-04-18,42,Castilla y León,1458
2020-04-18,42,Cataluña,3933
2020-04-18,42,Valencia,1065
2020-04-18,42,Extremadura,384
2020-04-18,42,Galicia,346
2020-04-18,42,Madrid,7239
2020-04-18,42,Murcia,116
2020-04-18,42,Navarra,369
2020-04-18,42,País Vasco,1062
2020-04-18,42,La Rioja,277
2020-04-19,43,Andalucía,1013
2020-04-19,43,Aragón,637
2020-04-19,43,Asturias,200
2020-04-19,43,Baleares,157
2020-04-19,43,Canarias,119
2020-04-19,43,Cantabria,158
2020-04-19,43,Castilla-La Mancha,2021
2020-04-19,43,Castilla y León,1493
2020-04-19,43,Cataluña,4009
2020-04-19,43,Valencia,1079
2020-04-19,43,Extremadura,389
2020-04-19,43,Galicia,352
2020-04-19,43,Madrid,7351
2020-04-19,43,Murcia,117
2020-04-19,43,Navarra,385
2020-04-19,43,País Vasco,1081
2020-04-19,43,La Rioja,285
2020-04-20,44,Andalucía,1017
2020-04-20,44,Aragón,643
2020-04-20,44,Asturias,202
2020-04-20,44,Baleares,161
2020-04-20,44,Canarias,120
2020-04-20,44,Cantabria,165
2020-04-20,44,Castilla-La Mancha,2075
2020-04-20,44,Castilla y León,1521
2020-04-20,44,Cataluña,4152
2020-04-20,44,Valencia,1089
2020-04-20,44,Extremadura,397
2020-04-20,44,Galicia,360
2020-04-20,44,Madrid,7460
2020-04-20,44,Murcia,120
2020-04-20,44,Navarra,397
2020-04-20,44,País Vasco,1103
2020-04-20,44,La Rioja,294
2020-04-21,45,Andalucía,1050
2020-04-21,45,Aragón,656
2020-04-21,45,Asturias,211
2020-04-21,45,Baleares,164
2020-04-21,45,Canarias,121
2020-04-21,45,Cantabria,167
2020-04-21,45,Castilla-La Mancha,2140
2020-04-21,45,Castilla y León,1554
2020-04-21,45,Cataluña,4247
2020-04-21,45,Valencia,1106
2020-04-21,45,Extremadura,404
2020-04-21,45,Galicia,368
2020-04-21,45,Madrid,7577
2020-04-21,45,Murcia,123
2020-04-21,45,Navarra,401
2020-04-21,45,País Vasco,1124
2020-04-21,45,La Rioja,298
2020-04-22,46,Andalucía,1079
2020-04-22,46,Aragón,681
2020-04-22,46,Asturias,223
2020-04-22,46,Baleares,168
2020-04-22,46,Canarias,121
2020-04-22,46,Cantabria,173
2020-04-22,46,Castilla-La Mancha,2188
2020-04-22,46,Castilla y León,1582
2020-04-22,46,Cataluña,4343
2020-04-22,46,Valencia,1124
2020-04-22,46,Extremadura,407
2020-04-22,46,Galicia,375
2020-04-22,46,Madrid,7684
2020-04-22,46,Murcia,124
2020-04-22,46,Navarra,409
2020-04-22,46,País Vasco,1167
2020-04-22,46,La Rioja,303
